sample_id,uid,ai_chrom_index,n_ai_peaks,n_trad_peaks,n_ignored_weak,n_review_required,channel_alert_level,random_order,plot_path
test3_32,diazinon-2,498,1,1,0,0,GREEN,49,plots\test3_32\0049_chrom498_diazinon-2_GREEN.png
test3_7,simazine-1,137,1,1,0,0,GREEN,50,plots\test3_7\0050_chrom137_simazine-1_GREEN.png
test3_47,phorate sulfoxide-2,184,1,1,0,0,GREEN,51,plots\test3_47\0051_chrom184_phorate sulfoxide-2_GREEN.png
test3_10,fluazifop-1,617,1,1,0,0,GREEN,52,plots\test3_10\0052_chrom617_fluazifop-1_GREEN.png
test3_24,pyridalyl-1,701,1,1,0,0,GREEN,53,plots\test3_24\0053_chrom701_pyridalyl-1_GREEN.png
test3_51,phorate sulfoxide-1,183,1,1,0,0,GREEN,54,plots\test3_51\0054_chrom183_phorate sulfoxide-1_GREEN.png
test3_11,prosulfocarb-2,560,1,1,0,0,GREEN,55,plots\test3_11\0055_chrom560_prosulfocarb-2_GREEN.png
test3_25,promecarb-2,262,1,1,0,0,GREEN,56,plots\test3_25\0056_chrom262_promecarb-2_GREEN.png
test3_18,cyazofamid-2,402,1,1,0,0,GREEN,57,plots\test3_18\0057_chrom402_cyazofamid-2_GREEN.png
test3_14,methoprene-1,693,1,1,0,0,GREEN,58,plots\test3_14\0058_chrom693_methoprene-1_GREEN.png
test3_41,spinosad A-2,556,1,1,0,0,GREEN,59,plots\test3_41\0059_chrom556_spinosad A-2_GREEN.png
test3_5,silthiofam-2,448,1,1,0,1,YELLOW,60,plots\test3_5\0060_chrom448_silthiofam-2_YELLOW.png
test3_32,halosulfuron-methyl-2,302,1,1,0,0,GREEN,61,plots\test3_32\0061_chrom302_halosulfuron-methyl-2_GREEN.png
test3_32,zoxamide-2,480,1,1,0,0,GREEN,62,plots\test3_32\0062_chrom480_zoxamide-2_GREEN.png
test3_5,cyproconazole-1,409,4,1,0,3,RED,63,plots\test3_5\0063_chrom409_cyproconazole-1_RED.png
test3_25,rotenone-1,433,1,1,0,0,GREEN,64,plots\test3_25\0064_chrom433_rotenone-1_GREEN.png
test3_48,ametryn-2,252,1,1,0,0,GREEN,65,plots\test3_48\0065_chrom252_ametryn-2_GREEN.png
test3_32,oxamyl-1,17,6,1,1,4,RED,66,plots\test3_32\0066_chrom017_oxamyl-1_RED.png
test3_50,pirimiphos-methyl-1,513,1,1,0,0,GREEN,67,plots\test3_50\0067_chrom513_pirimiphos-methyl-1_GREEN.png
test3_36,sulfentrazone-2,154,1,1,0,0,GREEN,68,plots\test3_36\0068_chrom154_sulfentrazone-2_GREEN.png
test3_26,boscalid-2,306,1,1,0,0,GREEN,69,plots\test3_26\0069_chrom306_boscalid-2_GREEN.png
test3_14,3-hydroxy carbofuran-1,51,1,1,0,0,GREEN,70,plots\test3_14\0070_chrom051_3-hydroxy carbofuran-1_GREEN.png
test3_14,sulfentrazone-2,154,3,1,0,2,RED,71,plots\test3_14\0071_chrom154_sulfentrazone-2_RED.png
test3_30,prometryn-2,338,1,1,0,0,GREEN,72,plots\test3_30\0072_chrom338_prometryn-2_GREEN.png
test3_33,clethodim sulfoxide-1,237,1,1,0,0,GREEN,73,plots\test3_33\0073_chrom237_clethodim sulfoxide-1_GREEN.png
